Disease,Title,Abstract,NCT_ID
Prostate Cancer,An Observational Study Looking at How Well the Drug Eligard Works and How Well it is Tolerated by the Body of Patients With Advanced Prostate Carcinoma in the Russian Federation, Eligard is a 6-month depot injection formulation that combines the active ingredient leuprorelin acetate (LA) with a biodegradable polymer matrix (Atrigel® delivery system). The 6-month (45 mg) formulation was approved for the Russian market in 2009. It has been shown to reduce testosterone and prostate-specific antigen (PSA) levels and to be well tolerated in several clinical trials. However clinical trials are limited by strict patient inclusion and exclusion criteria. Therefore the current non-interventional study aimed at investigating whether the efficacy and tolerability of the 6-month LA depot formulation could also be confirmed in a broad and heterogeneous patient population encountered in daily clinical practice in the Russian Federation. This study will evaluate total serum PSA and testosterone levels Quality of Life (QoL) of patients demographic patient data diagnosis and diagnostic findings in patients. It will provide analysis in different subgroups of patients depending on previous hormonal treatment and anamnesis of disease.    ,NCT02128334
Prostate Cancer,Effectiveness and Safety of Firmagon®, Effectiveness and Safety of Firmagon® in Androgen Ablative Therapy of Advanced Hormone-dependent Prostate Carcinoma. The period until Prostate Specific Antigen (PSA) progression during the Firmagon® therapy is to be documented and related to the testosterone values measured in the course of therapy (if available). Other clinical parameters the patients' quality of life and the direct and indirect costs incurred by the medical care for the advanced hormone-dependent prostate carcinoma and its consequences will be evaluated. In this context the medical outcome and the life quality are defined as effectiveness and benefit value parameters. Both the effectiveness under daily life circumstances and economic variables of the therapy can thus be shown and compared within an analysis of costs vs. benefits or costs vs. effectiveness.    ,NCT00930319
Prostate Cancer,This is a Phase 1 Open-label and Multicenter Study to Evaluate the Tolerability Safety Pharmacokinetics and Efficacy of TAK-385 in Japanese Patients With Androgen Deprivation Treatment-naïve Nonmetastatic Prostate Cancer., To evaluate the tolerability and safety of TAK-385 in patients with androgen deprivation treatment-naïve non-metastatic prostate cancer    ,NCT02141659
Prostate Cancer,Study of DN-101 (Calcitriol) and Docetaxel in Subjects Previously Enrolled in Studies DN101-002 or DN101-004, The purpose of this study is to monitor the safety of continued DN-101 and docetaxel treatment for subjects previously enrolled in DN101-002 (ASCENT) or DN101-004 (NSCLC) Studies.    ,NCT00285675
Prostate Cancer,Mitoxantrone ± Cetuximab 2nd Line Androgen Independent Prostate Cancer (AIPC), To determine the time to progression produced by the combination of Novantrone (mitoxantrone) and Erbitux (cetuximab) versus Novantrone alone in metastatic AIPC patients previously treated with docetaxel-based chemotherapy. TTP is defined as time from the start of treatment date to the date the patient is first recorded as having disease progression even in patients who discontinue study treatment early due to toxicity.    ,NCT00661492
Prostate Cancer,Analysis of the Mechanisms of Actions of Heat Shock Protein (Hsp27) Responsible of the Androgen-independent Evolution in Prostate Cancer, Prostate cancer (PC) represents one of the most common cancers in industrialized countries. Patients with localized disease may be treated with surgery or radiation while androgen ablation is used as first-line therapy in patients with metastatic disease. While most patients initially respond well to this hormonal therapy they most ultimately become unresponsive and recur within 2 years as androgen-independent prostate cancer (AIPC). Recently docetaxel-based regimens have demonstrated improved survival in men with AIPC in two different large phase III studies. However the median overall survival was prolonged for only 2 or 3 months. Androgen independent (AI) progression involves variable combinations of clonal selection adaptive up-regulation of anti-apoptotic genes ligand-independent androgen receptor (AR) activation alternative growth factor pathways and immune system escape. Additional therapeutic strategies targeting molecular mechanisms mediating resistance combined with immunotherapy must be developed. One strategy to improve therapies in advanced PC involves targeting genes that are activated by androgen withdrawal either to delay or prevent the emergence of the resistant AI phenotype. Recently a scientistidentified Heat Shock Protein (Hsp27) as a highly over-expressed gene in AIPC. Hsp27 knockdown using antisens oligonucleotides (ASO) and small interfering RNA (siRNA) increased apoptotic rates and enhanced hormone- and chemo-therapy in PC. She developed and patented a 2nd generation ASO targeting Hsp27 that has been licensed (investigational drug called OGX-427) and clinical trials phase I/II is currently in process in PC. Despite OGX-427 efficiency the functional role of stress induced Hsp27 in castration or chemotherapy-induced apoptosis remains undefined. The purpose of this study is to elucidate the pathways leading to Hsp27 action in androgen-independent prostate cancer in order to 1/ Increase the pharmacological safety of OGX-427 and 2/find new specific therapeutic targets and treatment strategy for androgen-independent prostate cancer .    ,NCT02055846
Prostate Cancer,A Safety Trial of MVA-BN®-PRO in Men With Androgen-Insensitive Prostate Cancer, BNIT-PR-001 is an open-label multi-center Phase I dosing evaluation trial of MVA-BN®-PRO in men with androgen-insensitive prostate cancer. Patients will have PSA recurrence after being treated with androgen suppression therapy or complete androgen blockade. The trial will consist of a treatment with up to 6 vaccinations with MVA-BN®-PRO at monthly intervals followed by a 1-year follow-up phase. A vaccination may be 1 2 or 4 injections of study vaccine. The study is designed to examine safety as well as the effect of three different doses on immune response.    ,NCT00629057
Prostate Cancer,Study Of Tasquinimod In Asian Chemo-Naïve Patients With Metastatic Castrate-Resistant Prostate Cancer, To confirm the effect of tasquinimod in delaying disease progression or death as compared with placebo in chemo-naïve patients with metastatic castrate-resistant prostate cancer (mCRPC).    ,NCT02057666
Prostate Cancer,Isoflavone in Prostate-specific Antigen Recurrent Prostate Cancer, Primary Outcome Measures: Decrease in rate of serum PSA rise Secondary Outcome Measures: Adherence to treatment regimens Quality of life as assessed by FACT-P at baseline and at 12 months of treatment Modulation of serum testosteroneisoflavone metabolites and cholesterol Estimated Enrollment: 27 Study Start Date: November 2003 Estimated Primary Completion Date: February 2007 (Final data collection date for primary outcome measure)    ,NCT00596895
Prostate Cancer,Safety and Efficacy of Radiotherapy Combined With a 6-month LH-RH Agonist and Abiraterone Hormone Therapy Treatment in Biochemically-relapsing Prostate Cancer Following Surgery, As there is no prospective data on the combination of abiraterone and salvage radiotherapy the aim of this study is to further evaluate the safety profile of abiraterone acetate plus prednisone in patients with prostate cancer who are biochemically relapsing after surgery and undergo salvage radiotherapy with 6-months LH-RH agonist. The investigators hypothesize that the toxicity profile of both treatments should not potentiate each other. This study will also provide preliminary data on the efficacy of this combination.    ,NCT01780220
Prostate Cancer,18F-NaF PET Imaging for Bone Scintigraphy, The purpose of this study is to compare in patients with prostate or breast cancer the accuracy of 18F-NaF PET imaging to 99mTc whole body bone scans with single-photon emission computed tomography (SPECT).    ,NCT01930812
Prostate Cancer,Study of AMG 162 in Subjects With Advanced Cancer Currently Being Treated With Intravenous (IV) Bisphosphonates, The purpose of this trial is to determine the effectiveness of AMG 162 in reducing urinary N-telopeptide in advanced cancer subjects with bone metastases.    ,NCT00104650
Prostate Cancer,Open Label Extension to SRE Studies in United Kingdom and Czech Republic Only, The purpose of this study is to describe the safety and tolerability of denosumab administration as measured by adverse events immunogenicity and safety laboratory parameters in subjects who previously received either zoledronic acid (Zometa®) or denosumab.    ,NCT00950911
Prostate Cancer,Open-Label Access Protocol of Denosumab for Subjects With Advanced Cancer, This trial will facilitate access of denosumab for subjects with advanced cancer who have participated in a denosumab phase 3 study until denosumab is approved and available for sale or until another mechanism is identified to provide denosumab to ongoing subjects.    ,NCT01419717
Prostate Cancer,Pharmacodynamic Study of Radium-223 in Men With Bone Metastatic Castration-Resistant Prostate Cancer, This study will examine biomarkers involved in osteomimicry in bone metastases and circulating tumor cells (CTCs) of men with mCRPC before and during therapy with the bone-targeting radiopharmaceutical radium-223. This study will also examine the bio-distribution of radium-223 in bone and bone metastases of men with mCRPC. The investigators hypothesize that bone metastases and CTCs in men with mCRPC will commonly express markers of EMT/plasticity and osteomimicry not just in the normal surrounding osteoblastic stroma but in the epithelial tumor cells themselves and that radium-223 will target both of these compartments including the more mesenchymal/osteoblastic tumor cells and the surrounding osteoblasts in the active bone microenvironment with a relative sparing of normal bone and bone marrow.    ,NCT02204943
Prostate Cancer,Study of the Effect of Chemotherapy With Cabazitaxel on Prostate Cancer, This is a prospective open-label single arm translational study of cabazitaxel in bone Castration Resistant metastatic Pancreatic Cancer (mCRPC) patients. Patient will be treated with intravenous (iv) cabazitaxel 25mg/m2 every (q) 21days per standard clinical practice for up to 10 cycles or until disease progression or unacceptable toxicity or physician's decision or patient's consent withdrawal (whichever occurs first).    ,NCT02512458
Prostate Cancer,A Safety and Efficacy Study of KX2-391 in Patients With Bone-Metastatic Castration-Resistant Prostate Cancer Who Have Not Received Prior Chemotherapy, The standard of care for patients with bone-metastatic castrate-resistant prostate cancer is chemotherapy. If a patient elects not to choose chemotherapy 70% will progress within 6 months. KX2-391 given orally twice a day for 6 months will be evaluated for its ability to delay/prevent disease progression in patients who have not had prior chemotherapy.    ,NCT01074138
Prostate Cancer,A Multicenter Trial Enrolling Men With Advanced Prostate Cancer Who Are to Receive Combination Radiation and Sipuleucel-T, Radiation in combination with Provenge based immunotherapy may improve outcomes seen on imaging as well as immunologic monitoring. This study will assess the effect of radiation therapy to augment anti-tumor responses from immune therapy with Provenge.    ,NCT02232230
Prostate Cancer,PET Acetate for Castrate-Resistant Prostate Cancer on Chemotherapy, One purpose of this research study is to examine if a special type of imaging test a positron emission tomography (PET) scan using the radioactive material [C-11] acetate will be helpful in detecting prostate cancer lesions in subjects with castrate-resistant prostate cancer. This PET scan will be combined with a computed tomography (CT) scan taken during the same imaging session. The other purpose of the PET-CT scan using [C-11] acetate (PET Acetate Scan) is to assist in identifying who is responding to the treatment (docetaxel chemotherapy).    ,NCT01144897
Prostate Cancer,Pasireotide (SOM230) With or Without Everolimus in Treating Patients With Hormone Resistant Chemotherapy Naive Prostate Cancer, This is an open label randomized phase II study for prostate cancer patients who have disease progression after hormonal therapy. SOM230 LAR (Pasireotide) binds to its receptor of prostate cancer cells and can prevent them from growing. Everolimus works by targeting a cell survival factor in prostate cancer. The combination of these drugs may work better for the treatment of prostate cancer without toxic chemotherapy. Patients will receive either SOM230 LAR (group A) or SOM230 LAR in combination with Everolimus (group B).    ,NCT01313559
Prostate Cancer,Phase I/II Study of ASP9521 in Castrate-Resistant Prostate Cancer (CRPC) Patients, The study has three parts. Part 1 is a dose escalation to investigate the safety and tolerability of ASP9521. Part 2 will evaluate the safety and tolerability and initial anti-tumor activity of ASP9521. Part 3 of the study will be a Food Effect study.    ,NCT01352208
Prostate Cancer,A PHASEII STUDY EVALUATING INTRAVENOUS MELPHALAN WITH AUTOLOGOUS WHOLE BLOOD STEM CELL TRANSPLANTATION (PBSCT)OVER THREE CYCLES IN PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER (MEL-CAP)., The management of (castration-resistant) prostate cancer (CRPC) is becoming increasingly complex. The use of peripheral anti-androgens with gonadorelin analogues (maximum androgen blockade) is common place. Following the failure of such an approach several strategies may be employed. Both corticosteroids and estrogens have a role and increasingly chemotherapy is being used. The demonstration of enhanced survival using 3 weekly docetaxel has meant that this is viewed by many as the standard of care for fit patients. Melphalan is an established alkylating drug that has demonstrated some activity in CRPC but to date myelosuppression has prevented adequate dosing. We have recently conducted a phase I dose escalation study using melphalan and whole blood stem cell re-infusion and it shows that median overall survival is 22 months which is higher than the median survival rate of 19 months for Docetaxel Data from a previous phase I study has proved the successful administration of higher doses of IV Melphalan in combination with autologous blood infusion in patients with Castration-resistant prostate cancer. Rapid falls in circulating tumour cells were seen within 2 weeks of starting Melphalan however slow platelet recovery meant longer periods of platelet transfusion. For this study we intend to assess the efficacy of an intensified intravenous melphalan with autologous whole blood stem cell transplantation over three treatment cycles. 39 patients will be enrolled over a 3 year period and at least 17 patients need to survive progression free at least 6-months for this study to be considered positive. Mel-CAP is a combination chemotherapy consisting of two chemotherapy drugs: MELPHALAN and LENOGRASTIM for 3 cycles alternately.    ,NCT01907009
Prostate Cancer,MTD Study of Vaccine BP-GMAX-CD1 Plus AP1903 to Treat Castrate Resistant Prostate Cancer, This is a Phase I non-randomized multiple-dose 3+3 dose-escalation study of the safety pharmacokinetics biomarkers preliminary efficacy and patient-reported outcomes of therapeutic vaccine BPX-101 (formerly BP-GMAX-CD1) plus activating agent AP1903 in patients with castrate resistant prostate cancer.    ,NCT00868595
Prostate Cancer,Investigating the Safety Tolerability and Efficacy of Amorphous Calcium Carbonate (ACC) on the Treatment of Subjects With CRPC, Studies objectives: To evaluate the safety tolerability and efficacy of AMOR-1 given in combination with ZA or with Denosumab as compared to placebo given with ZA or with Denosumab as outline below:   -  Safety and Tolerability:   -  Adverse events (AEs) and serious AEs   -  Safety laboratory measurements   -  Hypercalcemic and hypercalciuric episodes   -  Treatment withdrawal due to AEs and overall Efficacy:   -  Skeletal Related Events (SREs)   -  Measurable and evaluable disease progression   -  Progression Free Survival (PFS)   -  Pain assessment via the VAS scale    ,NCT02864784
Prostate Cancer,Safety Study of BPX-201 Dendritic Cell Vaccine Plus AP1903 in Metastatic Castrate Resistent Prostate Cancer, This is a Phase I non-randomized dose escalation study of the safety biomarkers and preliminary efficacy of dendritic cell vaccine BPX-201 plus activating agent AP1903 in patients with metastatic castrate resistant prostate cancer.    ,NCT01823978
Prostate Cancer,Cabazitaxel in Men 75 Years of Age or Older With Castration-Resistant Prostate Cancer, Cabazitaxel is already approved by the Food and Drug Administration (FDA) for use in patients with advanced prostrate cancer following docetaxel therapy. The purpose of this study is to better understand the response and toxicity of cabazitaxel of elderly men (age 75 years and older) with advanced prostate cancer who have progressed during or after treatment with docetaxel. All patients on this study will receive cabazitaxel by intravenous (through a vein) infusion plus prednisone by mouth twice daily and following the chemotherapy infusions an injection of a granulocyte colony-stimulating factor (G-CSF). G-CSF will help the body produce more white blood cells which should help decrease the risk of getting an infection while being treated with cabazitaxel.    ,NCT01750866
Prostate Cancer,A Study Evaluating the Pain Palliation Benefit of Adding Custirsen to Docetaxel Retreatment or Cabazitaxel as Second Line Therapy in Men With Metastatic Castrate Resistant Prostate Cancer (mCRPC), The purpose of this study is to determine if the addition of study drug (custirsen) can provide durable pain palliation for castrate resistant prostate cancer patients receiving docetaxel retreatment or cabazitaxel as a second line therapy.    ,NCT01083615
Prostate Cancer,Safety and Tolerability Study of ISIS EIF4E Rx in Combination With Docetaxel and Prednisone (CRPC), The purpose of this study is to examine the safety tolerability and progression-free survival of patients with Castrate-Resistant Prostate Cancer treated with ISIS EIF4E Rx in combination with docetaxel and prednisone.    ,NCT01234025
Prostate Cancer,Denosumab for Prolonging Bone Metastasis-Free Survival in Men With Hormone-Refractory Prostate Cancer, This is a multi-national multi-center open-label single-arm extension study for the prolongation of bone metastasis-free survival in men with hormone-refractory (androgen independent) prostate cancer. Patients currently participating in the phase 3 study 20050147 (NCT00286091) will be offered this study if a positive benefit:risk compared with placebo is determined in the 20050147 study. The primary endpoint of the 20050147 study is bone metastases-free survival determined by the time to first occurrence of bone metastases (either symptomatic or asymptomatic) or death from any cause. Participants will receive open-label denosumab administered once every 4 weeks (Q4W) subcutaneously (SC) until they developed a bone metastasis or for up to 3 years whichever comes first.    ,NCT01824342
Prostate Cancer,Safety and Tolerability of Atezolizumab (ATZ) in Combination With Radium-223 Dichloride (R-223-D) in Metastatic Castrate-Resistant Prostate Cancer (CRPC) Progressed Following Treatment With an Androgen Pathway Inhibitor, This study is designed to assess the safety and tolerability of atezolizumab when given in combination with radium-223 dichloride in participants with metastatic CRPC who have progressed after treatment with an androgen pathway inhibitor. An adaptive design is planned to first investigate the tolerability with concurrent administration (both treatments to begin in Cycle 1). However if the combination is not tolerated additional cohorts may be enrolled to evaluate the tolerability of radium-223 dichloride (to begin in Cycle 1) with delayed atezolizumab (to begin in Cycle 2 and/or 3).    ,NCT02814669
Prostate Cancer,A Multicenter Phase I/II Trial of Abiraterone Acetate + BEZ235 in Metastatic Castration-Resistant Prostate Cancer, There will be two parts to this clinical research study. The purpose of each part is:   -  Phase 1: This part of the study will determine what dose of BEZ235 is safe to give with a standard dose of abiraterone acetate and prednisone by administering different doses of BEZ235. This will help to find out what effects good and/or bad this combination has on CRPC.   -  Phase 2: This part of the study will measure the treatment effect of the combination of BEZ235 and abiraterone acetate/prednisone on CRPC.    ,NCT01717898
Prostate Cancer,Testosterone Revival Abolishes Negative Symptoms Fosters Objective Response and Modulates Enzalutamide Resistance, Asymptomatic men with progressive metastatic CRPC post- treatment with abiraterone acetate (pre-chemotherapy for metastatic disease) will be treated on a randomized multi-Institutional open label study to determine if treatment with intramuscular T given on a dose/schedule designed to result in rapid cycling from the polar extremes of supraphysiologic to near castrate levels [i.e. Bipolar Androgen Therapy (BAT)] will improve primary and secondary objectives vs. enzalutamide as standard therapy.    ,NCT02286921
Prostate Cancer,OGX-427 in Castration Resistant Prostate Cancer Patients, This study is being offered to patients who have castrate-resistant (also known as hormone-refractory) prostate cancer. The cancer has metastasized or spread outside the prostate area to other parts of the body or has recurred in the pelvic area after treatment. The purpose of this clinical research study is to determine whether OGX-427 is able to slow the progression of prostate cancer and symptoms of disease when given with prednisone better than when prednisone is given alone in patients with prostate cancer whose disease has spread outside the prostate area. Research Hypothesis: That adding OGX-427 to prednisone treatment will produce a progression free rate of 20%.    ,NCT01120470
Prostate Cancer,Trial of NRX 194204 in Castration- and Taxane-Resistant Prostate Cancer, This study is to evaluate the benefits of investigational drug NRX 194204 in slowing down/stopping/reversing progression of the castration resistant and taxane resistant prostate cancer.    ,NCT01540071
Prostate Cancer,A Phase II Study of Increased-Dose Abiraterone Acetate in Patients With Castration Resistant Prostate Cancer, The purpose of this study is to find out what effects good and/or badan increased dose of Abiraterone Acetate in combination with prednisone has on patients and their prostate cancer. This study will investigate whether an increased-dose (2000mg daily) is safe and potentially effective when given to patients whose cancer has grown while taking the standard dose.    ,NCT01637402
Prostate Cancer,Phase 1 Study to Evaluate Safety Tolerability Pharmacokinetics and Preliminary Efficacy of Pasireotide LAR in Patients With Castration Resistant Prostate Cancer, After failure of initial ADT addition of an anti-androgen is established to treat castration resistant prostate cancer (CRPC). Substitution of the first anti-androgen and anti-androgen withdrawal results in treatment responses in 25-40% of patients for 4-6 months. A more effective second line treatment after failure of first ADT could prolong the time until the state of symptomatic HRPC which is currently treated with docetaxel and accompanied by significant side effects. Since the importance of the IGF-signaling in PC is not only indicated by preclinical results but also by clinical efficacy of somatostatin analogs further clinical research with the new somatostatin analog pasireotide is warranted. This study is designed to define the maximum tolerated dose (MTD) of pasireotide LAR in patients with castration resistant prostate cancer (CRPC). It also aims for a preliminary efficacy evaluation of pasireotide within the dose expansion part at the MTD. Preliminary efficacy will be assessed by evaluation of different measures of prostate cancer e.g. changes in PSA disease control rate (RECIST 1.1) symptoms and changes of biomarkers linked to the mode of action of pasireotide LAR. The study will also explore characteristics of patients who might benefit most from this treatment approach.    ,NCT01646684
Prostate Cancer,Phase 1 Study of GEN0101 in Patients With Recurrence of CRPC, This study is designed to evaluate the safety and efficacy of a single injection of GEN0101 in patients with recurrence of castration resistant prostate cancer. The subjects receive GEN0101 injection 4 times per two weeks (1st intratumoral injection and followed subcutaneous injection) and two weeks of observation as one cycle treatment period. Each subject receive two cycle treatment period. Low dose group: 30000m NAU per injection of GEN0101 High dose group: 60000m NAU per injection of GEN0101 Each group included minimal 3 subjects.    ,NCT02502994
Prostate Cancer,Drug-drug Interaction Study With MDV3100 and a Cocktail of Substrates, A drug-drug interaction study to investigate the potential pharmacokinetic interaction between MDV3100 and a cocktail of substrates for pioglitazone (CYP2C8 substrate) S-warfarin (CYP2C9 substrate) omeprazole (CYP2C19 substrate) and midazolam (CYP3A4 substrate).    ,NCT01911728
Prostate Cancer,A Study to Determine Enzalutamide Long-term Safety and Efficacy After Anti-androgen Therapy for CRPC, This is a prospective observational study to evaluate effectiveness and safety of Enzalutamide for Castration Resistant Prostate Cancer (CRPC) patients who decided to administer Enzalutamide after anti-androgen therapy. CRPC Patients who are observed PSA or disease progression after anti-androgen therapy and decided to administrate Enzalutamide will dose the Enzalutamide 160 mg orally once daily and observed the practical treatment. Total research term is for 4 years consists of 2-year case registration terms and 2-year observational terms.    ,NCT02669147
Prostate Cancer,Safety and Efficacy Study of MDV3100 in Patients With Castration-Resistant Prostate Cancer Who Have Been Previously Treated With Docetaxel-based Chemotherapy, This is a phase 3 study to compare the clinical benefit of MDV3100 versus placebo in patients with castration-resistant prostate cancer who have been previously treated with docetaxel-based chemotherapy.    ,NCT00974311
Prostate Cancer,Phase I Study of LFA102 in Patients With Prolactin Receptor-positive Castration-resistant Prostate Cancer or Prolactin Receptor-positive Metastatic Breast Cancer, The purpose of this first multi-dose study in cancer patients is to determine the maximum tolerated dose (MTD) or recommended phase II dose (RP2D) characterize the safety tolerability and pharmacokinetics profile. Once the MTD has been established and/or a RP2D chosen the study will enroll patients into the expansion portion of the study.    ,NCT01338831
Prostate Cancer,The Role of Androgen Deprivation Treatment (ADT) in Docetaxe-Prednisolone Chemotherapy for Castrate-Resistant Prostatic Cancer, The purpose of this study is to assess the androgen deprivation therapy when patients with castration-resistant prostate cancer are treated with docetaxel-based chemotherapy.    ,NCT01487902
Prostate Cancer,Food Effect Study of Abiraterone Acetate for Treatment of Patients With Castration-Resistant Prostate Cancer, This randomized phase II trial studies the best way to give abiraterone acetate in treating patients with castration-resistant prostate cancer. Abiraterone acetate is effective in treating castrate resistant prostate cancer and is taken in the fasting state. However the body's absorption of abiraterone is increased with food intake. This study will test the whether a lower dose of abiraterone taken with food has a similar effect on prostate specific antigen (PSA) compared to full dose taken fasting.    ,NCT01543776
Prostate Cancer,Phase Ib of Abiraterone Acetate Plus BEZ235 or BKM120 in Castration-resistant Prostate Cancer (CRPC) Patients, This is an open label study of abiraterone acetate in combination with BEZ235 and abiraterone acetate in combination with BKM120 in CRPC patients with abiraterone acetate failure.    ,NCT01634061
Prostate Cancer,A Study to Evaluate Characteristics Predictive of a Positive Imaging Study for Distant Metastases in Patients With Castration-Resistant Prostate Cancer, The primary purpose of this research is to describe patient characteristics predictive of an imaging study positive for distant metastases in patients with castration-resistant prostate cancer and no known distant metastases.    ,NCT01981109
Prostate Cancer,F-choline PET in Early Response Assessment for Castration Resistant Prostatic Cancer, Until today no current diagnostic tool exists to identify an early objective response when patients with castration-resistant prostate cancer were treated by abiraterone acetate or enzalutamide. According to the Prostate Cancer Working Group the investigators have to wait 12 weeks before the first evaluation. To know soon that the treatment is effective will be decisive for the oncologist even more in palliative situation where second effects can't be imposed to patients. In post-docetaxel the F-choline PET-CT could be used to assess the response of this new therapy. Moreover the investigators suppose that we can assess an early stage if there is an objective therapeutic response at 6 weeks of treatment in order to avoid unnecessarily and expansive treatment. The aim of this study is to assess if it is possible to determine early (6 weeks of treatment)if a F-choline PET-CT could predict the response to abiraterone acetate or enzalutamide in post-docetaxel.    ,NCT01981707
Prostate Cancer,A Study to Evaluate Oral VT-464 in Patients With Castration-Resistant Prostate Cancer, The goal of this clinical study is to determine the safety tolerability pharmacokinetics and activity of VT-464 a lyase-selective inhibitor of CYP17 in patients with castration-resistant prostate cancer (CRPC).    ,NCT02012920
Prostate Cancer,Phase II Clinical Trial of Abiraterone Acetate Without Exogenous Glucocorticoids in Men With Castration-resistant Prostate Cancer With Correlative Assessment of Hormone Intermediates., This study is comparing the safety and effectiveness of abiraterone acetate alone followed by the addition of prednisone (when the participant's disease worsens or the physician feels it would lessen symptoms of toxicity) versus the current approved treatment regimen which involves the concomitant use of prednisone in conjunction with abiraterone acetate. Additionally this study is also examining why participants stop responding to treatment with abiraterone acetate by evaluating blood and tissue.    ,NCT02025010
Prostate Cancer,A Study to Monitor the Safety of Enzalutamide in Patients With Progressive Castration-Resistant Prostate Cancer Previously Treated With Docetaxel-Based Chemotherapy, The purpose of this study is to monitor the safety of enzalutamide in patients with progressive castration-resistant prostate cancer previously treated with docetaxel-based chemotherapy.    ,NCT02124668
Prostate Cancer,Crizotinib in Combination With Enzalutamide in Metastatic Castration-resistant Prostate Cancer, This research study is comparing the combination of drugs Crizotinib and Enzalutamide as a possible treatment for metastatic castration-resistant prostate cancer (mCRPC).    ,NCT02207504
